2026-01-03 23:35:08 | MedicalAI | INFO     | setup_logger:106 | 日志文件已创建: logs/server.log
2026-01-03 23:35:08 | MedicalAI | INFO     | __init__:505 | 初始化Ollama代理: http://localhost:11434
2026-01-03 23:35:08 | MedicalAI | INFO     | _setup_cors:646 | CORS配置完成
2026-01-03 23:35:08 | MedicalAI | INFO     | __init__:625 | Flask应用初始化完成
2026-01-03 23:35:08 | MedicalAI | INFO     | initialize_model:847 | 开始初始化模型服务...
2026-01-03 23:35:08 | MedicalAI | INFO     | __init__:278 | ============================================================
2026-01-03 23:35:08 | MedicalAI | INFO     | __init__:279 | 初始化模型服务
2026-01-03 23:35:08 | MedicalAI | INFO     | __init__:280 | ============================================================
2026-01-03 23:35:08 | MedicalAI | INFO     | __init__:283 | 使用设备: cuda
2026-01-03 23:35:08 | MedicalAI | INFO     | __init__:286 | GPU信息: NVIDIA GeForce RTX 4090 D
2026-01-03 23:35:08 | MedicalAI | INFO     | __init__:287 | GPU内存: 23.64 GB
2026-01-03 23:35:08 | MedicalAI | INFO     | _load_resources:306 | 加载Tokenizer: trueto/medbert-base-wwm-chinese
2026-01-03 23:35:11 | MedicalAI | INFO     | _load_resources:308 | ✓ Tokenizer加载成功, 词表大小: 21128
2026-01-03 23:35:11 | MedicalAI | INFO     | _load_resources:311 | 初始化模型结构
2026-01-03 23:35:11 | MedicalAI | INFO     | __init__:241 | 初始化BERT模型: trueto/medbert-base-wwm-chinese
2026-01-03 23:35:13 | MedicalAI | INFO     | __init__:248 | 模型结构初始化完成
2026-01-03 23:35:13 | MedicalAI | INFO     | _load_resources:316 | 加载模型权重: best_medical_model.pth
2026-01-03 23:35:13 | MedicalAI | INFO     | _load_resources:328 | ✓ 模型权重加载成功
2026-01-03 23:35:13 | MedicalAI | INFO     | _load_resources:338 | ✓ 模型加载完成! 耗时: 5.20秒
2026-01-03 23:35:13 | MedicalAI | INFO     | _warmup:351 | 执行模型预热...
2026-01-03 23:35:13 | MedicalAI | INFO     | _warmup:354 | ✓ 模型预热完成
2026-01-03 23:35:13 | MedicalAI | INFO     | __init__:298 | 模型服务初始化完成
2026-01-03 23:35:13 | MedicalAI | INFO     | initialize_model:849 | 模型服务初始化成功
2026-01-03 23:35:13 | MedicalAI | INFO     | run:853 | ============================================================
2026-01-03 23:35:13 | MedicalAI | INFO     | run:854 | 医疗AI后端服务启动
2026-01-03 23:35:13 | MedicalAI | INFO     | run:855 | ============================================================
2026-01-03 23:35:13 | MedicalAI | INFO     | run:856 | 监听地址: 0.0.0.0:6006
2026-01-03 23:35:13 | MedicalAI | INFO     | run:857 | 本地访问: http://127.0.0.1:6006
2026-01-03 23:35:13 | MedicalAI | INFO     | run:858 | 外部访问: http://服务器IP:6006
2026-01-03 23:35:13 | MedicalAI | INFO     | run:859 | Ollama服务: http://localhost:11434
2026-01-03 23:35:13 | MedicalAI | INFO     | run:860 | 模型路径: best_medical_model.pth
2026-01-03 23:35:13 | MedicalAI | INFO     | run:861 | 调试模式: False
2026-01-03 23:35:13 | MedicalAI | INFO     | run:862 | ============================================================
2026-01-03 23:37:15 | MedicalAI | INFO     | decorated_function:187 | [1767454635330-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:15 | MedicalAI | INFO     | decorated_function:189 | [1767454635330-139636122853888] 请求成功
2026-01-03 23:37:15 | MedicalAI | INFO     | decorated_function:187 | [1767454635526-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:15 | MedicalAI | INFO     | decorated_function:189 | [1767454635526-139636122853888] 请求成功
2026-01-03 23:37:15 | MedicalAI | INFO     | decorated_function:187 | [1767454635709-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:15 | MedicalAI | INFO     | decorated_function:189 | [1767454635709-139636122853888] 请求成功
2026-01-03 23:37:15 | MedicalAI | INFO     | decorated_function:187 | [1767454635888-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:15 | MedicalAI | INFO     | decorated_function:189 | [1767454635888-139636122853888] 请求成功
2026-01-03 23:37:16 | MedicalAI | INFO     | decorated_function:187 | [1767454636062-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:16 | MedicalAI | INFO     | decorated_function:189 | [1767454636062-139636122853888] 请求成功
2026-01-03 23:37:25 | MedicalAI | INFO     | decorated_function:187 | [1767454645354-139636122853888] 请求开始: POST /api/ollama/generate
2026-01-03 23:37:25 | MedicalAI | INFO     | ollama_generate:812 | Ollama生成请求: model=qwen2.5, stream=False
2026-01-03 23:37:25 | MedicalAI | INFO     | generate:536 | Ollama请求: model=qwen2.5, stream=False, prompt_len=401
2026-01-03 23:37:29 | MedicalAI | INFO     | generate:574 | Ollama响应完成: 492字符, 耗时: 4.30秒
2026-01-03 23:37:29 | MedicalAI | INFO     | decorated_function:189 | [1767454645354-139636122853888] 请求成功
2026-01-03 23:37:45 | MedicalAI | INFO     | decorated_function:187 | [1767454665817-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:45 | MedicalAI | INFO     | decorated_function:189 | [1767454665817-139636122853888] 请求成功
2026-01-03 23:37:45 | MedicalAI | INFO     | decorated_function:187 | [1767454665994-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:189 | [1767454665994-139636122853888] 请求成功
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:187 | [1767454666167-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:189 | [1767454666167-139636122853888] 请求成功
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:187 | [1767454666348-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:189 | [1767454666348-139636122853888] 请求成功
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:187 | [1767454666520-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:189 | [1767454666520-139636122853888] 请求成功
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:187 | [1767454666696-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:189 | [1767454666696-139636122853888] 请求成功
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:187 | [1767454666866-139636122853888] 请求开始: POST /api/predict
2026-01-03 23:37:46 | MedicalAI | INFO     | decorated_function:189 | [1767454666866-139636122853888] 请求成功
2026-01-03 23:37:47 | MedicalAI | INFO     | decorated_function:187 | [1767454667042-139636122853888] 请求开始: POST /api/predict
